username,password,firstname,lastname,auth,idnumber,email,phone1,address,city,custom_salutation,custom_type,custom_dob,custom_gender,custom_department,custom_subjects,custom_position,custom_uid,custom_school,custom_doj,custom_jobtype,custom_grade,custom_caste,custom_post
test_learner_sch1_u1,Welcome@123,test,learner1,manual,10001,test_learner1@mailinator.com,99999999,,,Mr.,Internal,01-01-2001,Male,DOE,"English,Hindi","EMC Coordinator,Happiness Coordinator",1.23E+11,1001001,01-01-2001,contract,TGT,SC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u2,Welcome@123,test,learner2,manual,10002,test_learner2@mailinator.com,99999999,,,Mrs.,Internal,02-01-2001,Male,DOE,"English,Hindi","EMC Coordinator,Happiness Coordinator",1.23E+11,1001001,01-02-2001,regular,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u3,Welcome@123,test,learner3,manual,10003,test_learner3@mailinator.com,99999999,,,Ms.,Internal,03-01-2001,Male,DOE,"English,Hindi","EMC Coordinator,Happiness Coordinator",1.23E+11,1001001,01-03-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u4,Welcome@123,test,learner4,manual,10004,test_learner4@mailinator.com,99999999,,,Mr.,Internal,04-01-2001,Female,DOE,"English,Hindi","EMC Coordinator,Happiness Coordinator",1.23E+11,1001001,01-04-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u5,Welcome@123,test,learner5,manual,10005,test_learner5@mailinator.com,99999999,,,Mrs.,Internal,05-01-2001,Female,DOE,"English,Hindi","EMC Coordinator,Happiness Coordinator",1.23E+11,1001001,01-05-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u6,Welcome@123,test,learner6,manual,10006,test_learner6@mailinator.com,99999999,,,Ms.,Internal,06-01-2001,Female,"DOE,MCD","English,Hindi","EMC Coordinator,Happiness Coordinator",1.23E+11,1001001,01-06-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u7,Welcome@123,test,learner7,manual,10007,test_learner7@mailinator.com,99999999,,,Mr.,Internal,07-01-2001,Others,DOE,"English,Hindi","EMC Coordinator,Happiness Coordinator",1.23E+11,1001001,01-07-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u8,Welcome@123,test,learner8,manual,10008,test_learner8@mailinator.com,99999999,,,Mrs.,Internal,08-01-2001,Male,DOE,"English,Hindi","EMC Coordinator,Happiness Coordinator",1.23E+11,1001001,01-08-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u9,Welcome@123,test,learner9,manual,10009,test_learner9@mailinator.com,99999999,,,Ms.,Internal,09-01-2001,Male,DOE,"Mathematics,Science","Mentor teacher,Eco Club Incharge",1.23E+11,1001001,01-09-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u10,Welcome@123,test,learner10,manual,10010,test_learner10@mailinator.com,99999999,,,Mr.,Internal,10-01-2001,Male,DOE,"Mathematics,Science","Mentor teacher,Eco Club Incharge",1.23E+11,1001001,01-10-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u11,Welcome@123,test,learner11,manual,10011,test_learner11@mailinator.com,99999999,,,Mrs.,Internal,11-01-2001,Male,DOE,"Mathematics,Science","Mentor teacher,Eco Club Incharge",1.23E+11,1001001,01-11-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u12,Welcome@123,test,learner12,manual,10012,test_learner12@mailinator.com,99999999,,,Ms.,Internal,12-01-2001,Male,DOE,"Mathematics,Science","Mentor teacher,Eco Club Incharge",1.23E+11,1001001,01-12-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u13,Welcome@123,test,learner13,manual,10013,test_learner13@mailinator.com,99999999,,,Mr.,Internal,13-01-2001,Male,DOE,"Mathematics,Science","Mentor teacher,Eco Club Incharge",1.23E+11,1001001,01-13-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u14,Welcome@123,test,learner14,manual,10014,test_learner14@mailinator.com,99999999,,,Mrs.,Internal,14-01-2001,Male,DOE,"Mathematics,Science","Mentor teacher,Eco Club Incharge",1.23E+11,1001001,01-14-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
test_learner_sch1_u15,Welcome@123,test,learner15,manual,10015,test_learner15@mailinator.com,99999999,,,Ms.,Internal,15-01-2001,Male,DOE,"Mathematics,Science","Mentor teacher,Eco Club Incharge",1.23E+11,1001001,01-15-2001,contract,PGT,OBC,ASSISTANT TEACHER (NURSERY)
